Indication_approved,Indication_approved_extracted,,Indication_requested,Indication_requested_extracted,,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,
Long-term enzyme replacement therapy for the treatment of patients with Pompe disease (acid α-glucosidase deficiency).,<Pompe Disease>,match,Long-term enzyme replacement therapy for the treatment of patients with Pompe disease (acid α-glucosidase deficiency).,<Pompe Disease>,match ,Genzyme Europe BV,Genzyme,match
Ninlaro is indicated in combination with lenalidomide and dexamethasone for the treatment of patients with multiple myeloma who have received at least one prior therapy.,<Multiple Myeloma>,match,Ninlaro is indicated for the treatment of patients with multiple myeloma who have received at least one prior therapy.,<Multiple Myeloma>,match ,Takeda Pharmaceuticals Australia Pty Ltd,Takeda,match
Symptomatic treatment of Lambert-Eaton myasthenic syndrome (LEMS) in adults,<Lambert-Eaton Myasthenic Syndrome>,match,Symptomatic treatment of Lambert-Eaton myasthenic syndrome (LEMS) in adults,<Lambert-Eaton Myasthenic Syndrome>,match ,SERB SA,SERB,match
treatment of HIV-infected adults and children as part of antiretroviral combination therapy,<HIV Infections>,match,treatment of HIV-infected adults and children as part of antiretroviral combination therapy,<HIV Infections>,match ,Not reported,Not Reported,match
"treatment of the following fungal infections in adults: Invasive aspergillosis, Fusariosis, Chromoblastomycosis and mycetoma, Coccidioidomycosis, Oropharyngeal candidiasis; prophylaxis of invasive fungal infections in patients with AML, MDS, or HSCT recipients","<Aspergillosis>; <Fusariosis>; <Chromoblastomycosis>; <Mycetoma>; <Coccidioidomycosis>; <Candidiasis, Oral>",match,"use in the treatment of the following fungal infections in adults: Invasive aspergillosis, Fusariosis, Chromoblastomycosis and mycetoma, Coccidioidomycosis, Oropharyngeal candidiasis; prophylaxis of invasive fungal infections in patients with AML, MDS, or HSCT recipients","<Aspergillosis>; <Fusariosis>; <Chromoblastomycosis>; <Mycetoma>; <Coccidioidomycosis>; <Candidiasis, Oral>; <Fungal Infections>",match ,Accord Healthcare S.L.U.,Accord,match
Reduction in the duration of neutropenia and the incidence of febrile neutropenia in adult patients treated with cytotoxic chemotherapy for malignancy (with the exception of chronic myeloid leukaemia and myelodysplastic syndromes).,<Neutropenia>; <Febrile Neutropenia>; <Malignancy>,match,Reduction in the duration of neutropenia and the incidence of febrile neutropenia in patients treated with cytotoxic chemotherapy for malignancy (with the exception of chronic myeloid leukaemia and myelodysplastic syndromes).,<Neutropenia>; <Febrile Neutropenia>; <Malignant Neoplasms>,match ,Teva Pharma B.V.,Teva,match
treatment of BRAF V600 mutation-positive unresectable or metastatic melanoma,<Melanoma>,match,treatment of BRAF V600 mutation-positive unresectable or metastatic melanoma,<Melanoma>,match ,Roche Registration Ltd.,Roche,match
Management of breakthrough pain in adults with cancer who are already receiving maintenance opioid therapy for chronic pain.,<Cancer>,match,Management of breakthrough pain in adult patients using opioid therapy for chronic cancer pain.,<Cancer Pain>,match ,A. Menarini Australia Pty Ltd,Menarini,match
Regular treatment of asthma and symptomatic treatment of severe COPD,"<Asthma>; <Pulmonary Disease, Chronic Obstructive>",match,Regular treatment of asthma and symptomatic treatment of severe COPD,"<Asthma>; <Pulmonary Disease, Chronic Obstructive>",match ,Teva Pharma B.V.,Teva,match
Type 2 diabetes mellitus,<Type 2 Diabetes Mellitus>,match,Type 2 diabetes mellitus,<Type 2 Diabetes Mellitus>,match ,Novo Nordisk Pharma Ltd.,Novo Nordisk,match
for the treatment of patients with insomnia who have difficulty falling asleep,<Insomnia>,match,for the treatment of patients with insomnia who have difficulty falling asleep,<Insomnia>,match ,Wyeth Pharmaceuticals Company,Wyeth,match
Prevention of atherothrombotic events in adult patients already taking both clopidogrel and acetylsalicylic acid (ASA),<Arteriosclerosis>,no_match,Prevention of atherothrombotic events in adult patients already taking both clopidogrel and acetylsalicylic acid (ASA),<Thrombosis>,match ,Sanofi Pharma Bristol-Myers Squibb SNC,Sanofi Bristol-Myers Squibb,match
RINVOQ is indicated for the treatment of active ankylosing spondylitis in adult patients who have responded inadequately to non-steroidal anti-inflammatory drugs (NSAIDs).,<Ankylosing Spondylitis>,match,RINVOQ is used for the treatment of adults with active ankylosing spondylitis who responded inadequately to conventional therapy.,<Ankylosing Spondylitis>,match ,AbbVie AG,AbbVie,match
Treatment of adults with COVID-19 who do not require supplemental oxygen and are at increased risk of progressing to severe COVID-19.,<COVID-19>,match,Treatment of mild to moderate COVID-19 in adult patients confirmed to be infected with SARS-CoV-2.,<COVID-19>,match ,Celltrion Healthcare Australia Pty Ltd,Celltrion,match
Treatment of 5q-associated spinal muscular atrophy (SMA) in patients 2 months of age and older.,<Spinal Muscular Atrophy>,match,Treatment of spinal muscular atrophy (SMA).,<Spinal Muscular Atrophy>,match ,Roche Pharma (Schweiz) AG,Roche,match
"Paediatric and young adult patients up to 25 years of age with B-cell acute lymphoblastic leukaemia (ALL) that is refractory, in relapse post-transplant or in second or later relapse; Adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL) after two or more lines of systemic therapy.",<B-Cell Acute Lymphoblastic Leukemia>; <Diffuse Large B-Cell Lymphoma>,match,Treatment of paediatric and young adult patients aged 3 to 25 years with relapsed or refractory B-cell acute lymphoblastic leukaemia (ALL); Adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL) who are ineligible for autologous stem cell transplant.,"<Precursor B-Cell Lymphoblastic Leukemia-Lymphoma>; <Lymphoma, Large B-Cell, Diffuse>",match ,Novartis Europharm Limited,Novartis,match
Treatment of chronic immune thrombocytopenia (ITP) in adult patients who are refractory to other treatments.,<Thrombocytopenia>,match,Treatment of thrombocytopenia in adult patients with chronic or persistent immune thrombocytopenia (ITP) who have had an insufficient response to a previous treatment.,"<Thrombocytopenia, Immune>",match ,Rigel Pharmaceuticals B.V.,Rigel,match
Prevention of disease caused by SARS-CoV-2 infection (COVID-19),<SARS-CoV-2 Infections>,match,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),<SARS-CoV-2 Infections>,match ,"Moderna Japan Co., Ltd.",Moderna,match
Oral monotherapy treatment of type 2 diabetes mellitus particularly in overweight patients inadequately controlled by diet and exercise and for whom metformin is inappropriate because of contraindications or intolerance; oral combination treatment in type 2 diabetes mellitus patients with insufficient glycaemic control despite maximal tolerated dose of oral monotherapy with either metformin or a sulphonylurea,"<Diabetes Mellitus, Type 2>",match,Use in combination with sulphonylureas or metformin in patients not satisfactorily controlled by either agent alone,<Diabetes Mellitus>,no_match,Not reported,Not Reported,match
"Treatment of complicated urinary tract infections, complicated intra-abdominal infections, and nosocomial pneumonia including ventilator-associated pneumonia",<Urinary Tract Infections>; <Intraabdominal Infections>; <Pneumonia>,match,"Treatment of complicated urinary tract infections, complicated intra-abdominal infections, and nosocomial pneumonia including ventilator-associated pneumonia","<Urinary Tract Infections>; <Intraabdominal Infections>; <Pneumonia, Ventilator-Associated>",match ,Janssen-Cilag International N.V.,Janssen-Cilag,match
"Treatment of adult patients who are not eligible for haematopoietic stem cell transplantation (HSCT) with intermediate-2 and high-risk myelodysplastic syndromes (MDS), chronic myelomonocytic leukaemia (CMML) with 10-29% marrow blasts without myeloproliferative disorder, acute myeloid leukaemia (AML) with 20-30% blasts and multi-lineage dysplasia, AML with >30% marrow blasts.","<Myelodysplastic Syndromes>; <Leukemia, Myelomonocytic, Chronic>; <Leukemia, Myeloid, Acute>",match,"Treatment of adult patients who are not eligible for haematopoietic stem cell transplantation (HSCT) with intermediate-2 and high-risk myelodysplastic syndromes (MDS), chronic myelomonocytic leukaemia (CMML) with 10-29% marrow blasts without myeloproliferative disorder, acute myeloid leukaemia (AML) with 20-30% blasts and multi-lineage dysplasia, AML with >30% marrow blasts.","<Myelodysplastic Syndromes>; <Leukemia, Myelomonocytic, Chronic>; <Leukemia, Myeloid, Acute>",match ,Fresenius Kabi Deutschland GmbH,Fresenius,match
Rheumatoid arthritis; Juvenile idiopathic arthritis; Enthesitis-related arthritis; Axial spondyloarthritis; Psoriatic arthritis; Psoriasis; Hidradenitis suppurativa; Crohn’s disease; Ulcerative colitis; Uveitis,"<Rheumatoid Arthritis>; <Arthritis, Juvenile>; <Arthritis>; <Spondylarthropathies>; <Psoriatic Arthritis>; <Psoriasis>; <Hidradenitis Suppurativa>; <Crohn Disease>; <Colitis, Ulcerative>; <Uveitis>",match,Rheumatoid arthritis; Juvenile idiopathic arthritis; Enthesitis-related arthritis; Axial spondyloarthritis; Psoriatic arthritis; Psoriasis; Hidradenitis suppurativa; Crohn’s disease; Ulcerative colitis; Uveitis,"<Rheumatoid Arthritis>; <Arthritis, Juvenile>; <Arthritis, Psoriatic>; <Spondylarthropathies>; <Psoriasis>; <Hidradenitis Suppurativa>; <Crohn Disease>; <Colitis, Ulcerative>; <Uveitis>",match ,Samsung Bioepis UK Limited,Samsung,match
Unresectable advanced or recurrent non-small cell lung cancer with BRAF mutations,<Lung Neoplasms>,,Unresectable advanced or recurrent non-small cell lung cancer with BRAF mutations,<Non-Small Cell Lung Carcinoma>,,Novartis Pharma K.K.,Novartis,
"treatment of coronavirus disease 2019 (COVID-19) in adults who do not require oxygen therapy or hospitalisation due to COVID-19, and who are at increased risk for progressing to severe COVID-19",<Coronavirus Infections>,,"treatment of COVID-19 in adults and adolescents aged 12 years and over and weighing at least 40 kg, who do not require supplemental oxygen and who are at increased risk for progressing to severe COVID-19",<COVID-19>,,Pfizer AG,Pfizer,
treatment of hyperammonaemia due to N-acetylglutamate synthase primary deficiency,<Hyperammonemia>,,treatment of hyperammonaemia due to N-acetylglutamate synthase primary deficiency,<Hyperammonemia>,,Lucane Pharma,Lucane,
"Urgency, urinary frequency, and urge urinary incontinence in patients with overactive bladder",<Overactive Bladder>,,"Urgency, urinary frequency, and urge urinary incontinence in patients with overactive bladder",<Overactive Urinary Bladder>,,Astellas Pharma Inc.,Astellas,
treatment of idiopathic Parkinson’s disease (PD) as monotherapy (without levodopa) or as adjunct therapy (with levodopa) in patients with end of dose fluctuations,<Parkinson Disease>,,treatment of idiopathic Parkinson’s disease (PD) as monotherapy (without levodopa) or as adjunct therapy (with levodopa) in patients with end of dose fluctuations,<Parkinson Disease>,,MYLAN S.A.S.,Mylan,
Treatment of adults with insufficiently controlled type 2 diabetes mellitus as an adjunct to diet and exercise,<Type 2 Diabetes Mellitus>,,Glycaemic control in adults with type 2 diabetes mellitus as monotherapy or add-on therapy; Prevention of cardiovascular events in adults with type 2 diabetes mellitus and high cardiovascular risk,<Type 2 Diabetes Mellitus>; <Cardiovascular Diseases>,,Novo Nordisk A/S,Novo Nordisk,
"Hypercholesterolemia, familial hypercholesterolemia, homozygous sitosterolemia",<Hypercholesterolemia>; <Sitosterolemia>,,"Hypercholesterolemia, familial hypercholesterolemia, homozygous sitosterolemia",<Hypercholesterolemia>; <Sitosterolemia>,,Schering-Plough K.K.,Schering-Plough,
"Praluent is indicated as an adjunct to diet and exercise to reduce LDL-C in adults with one or more of: heterozygous familial hypercholesterolaemia, clinical atherosclerotic cardiovascular disease, or hypercholesterolemia with high or very high cardiovascular risk.",<Heterozygous Familial Hypercholesterolemia>; <Atherosclerotic Cardiovascular Disease>; <Hypercholesterolemia>,,Praluent is indicated as an adjunct to diet and exercise in adults with primary hypercholesterolaemia (heterozygous familial and non-familial) or mixed dyslipidaemia.,<Hypercholesterolemia>,,Sanofi Aventis Australia Pty Ltd,Sanofi,
